11.2033 	DEBUG 	Fullscreen settings ignored as running in pilot mode.
11.2052 	INFO 	Loaded monitor calibration from ['2025_07_24 15:50']
11.4194 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x15710ac50>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x15710b070>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=False, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x1570c8f40>, multiSample=False, name='window1', numSamples=2, pos=[356.0, 191.0], screen=0, size=array([1600, 1200]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
11.4195 	EXP 	window1: backgroundImage = ''
11.4195 	EXP 	window1: backgroundFit = 'none'
11.4295 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
11.4303 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
11.4311 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
11.4321 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
11.4331 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
11.4335 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
11.4342 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
11.4352 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
11.4355 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
11.4357 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
11.4365 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
11.4372 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
11.4379 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
