4.5043 	INFO 	Loaded monitor calibration from ['2023_11_01 17:25']
4.9959 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001E3B17F1910>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001E3B17F18B0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001E3B17F1700>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001E3B5D85850>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([2560, 1440]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
4.9960 	EXP 	window1: backgroundImage = ''
4.9960 	EXP 	window1: backgroundFit = 'none'
4.9962 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001E3B17F1A30>
4.9964 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001E3B17F1A30>
4.9978 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001E3B17F1A30>
4.9982 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001E3B17F1A30>
5.0401 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001E3B17F1A30>
5.0403 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001E3B17F1A30>
5.0407 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001E3B17F1A30>
5.0410 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001E3B17F1A30>
5.0558 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
5.0558 	EXP 	window1: recordFrameIntervals = False
5.1883 	EXP 	window1: recordFrameIntervals = True
5.2771 	WARNING 	t of last frame was 22.72ms (=1/44)
5.5213 	EXP 	Screen (0) actual frame rate measured at 59.90Hz
5.5213 	EXP 	window1: recordFrameIntervals = False
5.5214 	EXP 	window1: mouseVisible = False
10.5161 	INFO 	keyboard.Keyboard is using iohub backend.
10.5161 	INFO 	keyboard.Keyboard is using iohub backend.
10.5167 	EXP 	2back_diagram: status = STARTED
10.5169 	EXP 	window1: mouseVisible = False
10.5884 	EXP 	Created fixation = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
10.6064 	EXP 	Sound sound_stim set volume 1.000
10.6065 	EXP 	window1: mouseVisible = False
