block,target_word,target_pitch,cue_type,cue_file,target_file,correct_resp,ear,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,iti,trial.started,fixation_cross.started,key_resp.started,orienting_cue.started,orienting_cue.stopped,target.started,target.stopped,fixation_cross.stopped,key_resp.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,psychopyVersion,expStart,
1,day,LP,alerting,C:/Users/Adyant Balaji/Documents/EEG/tinnitusExperiments/AudiANT/audio_files/alerting_cue.wav,C:/Users/Adyant Balaji/Documents/EEG/tinnitusExperiments/AudiANT/audio_files/day_LP_left.wav,down,left,0,0,0,None,,,0,0,0,16,0.024323899999217247,,[1.5884272],0.02147990000048594,0.024323899999217247,1.5976697000005515,1.5974573666665188,1.6974255000004632,2.0976924666668006,3.182158600000548,3.2319688000006863,3.311343900000793,3.282470699999976,None,,,148488,001,2025-10-28_11h43.06.219,AuditoryANT,2024.2.4,2025-10-28 11h43.08.892719 -0700,
1,high,HP,orienting,C:/Users/Adyant Balaji/Documents/EEG/tinnitusExperiments/AudiANT/audio_files/orienting_right.wav,C:/Users/Adyant Balaji/Documents/EEG/tinnitusExperiments/AudiANT/audio_files/high_HP_right.wav,up,right,1,1,0,up,1.2037039000006189,None,0,1,1,15,3.311343900000793,,[0.91430742],3.3084503000009136,3.311343900000793,4.199677099999462,4.1995786666668815,4.299871499999426,4.700003366666594,5.333894800000053,,,5.430307500000708,up,1.2037039000006189,None,148488,001,2025-10-28_11h43.06.219,AuditoryANT,2024.2.4,2025-10-28 11h43.08.892719 -0700,
1,day,LP,orienting,C:/Users/Adyant Balaji/Documents/EEG/tinnitusExperiments/AudiANT/audio_files/orienting_left.wav,C:/Users/Adyant Balaji/Documents/EEG/tinnitusExperiments/AudiANT/audio_files/day_LP_left.wav,down,left,2,2,0,None,,,0,2,2,18,5.447959200000696,,[1.28808022],5.445239900000161,5.447959200000696,6.71850810000069,6.718450866667141,6.825049200000649,7.218814466667269,8.302995399999418,8.66222740000012,8.419780399999581,8.637159699999756,None,,,148488,001,2025-10-28_11h43.06.219,AuditoryANT,2024.2.4,2025-10-28 11h43.08.892719 -0700,
1,day,LP,orienting,C:/Users/Adyant Balaji/Documents/EEG/tinnitusExperiments/AudiANT/audio_files/orienting_right.wav,C:/Users/Adyant Balaji/Documents/EEG/tinnitusExperiments/AudiANT/audio_files/day_LP_right.wav,down,right,3,3,0,down,1.6659703999994235,None,0,3,3,19,8.66222740000012,,[1.08480744],8.66018769999937,8.66222740000012,9.737457900000663,9.737701366666686,9.837742399999115,10.221396266666732,11.305387599999449,,,11.406254100000297,down,1.6659703999994235,None,148488,001,2025-10-28_11h43.06.219,AuditoryANT,2024.2.4,2025-10-28 11h43.08.892719 -0700,
1,high,LP,alerting,C:/Users/Adyant Balaji/Documents/EEG/tinnitusExperiments/AudiANT/audio_files/alerting_cue.wav,C:/Users/Adyant Balaji/Documents/EEG/tinnitusExperiments/AudiANT/audio_files/high_LP_right.wav,down,right,4,4,0,None,,,0,4,4,9,11.433915100000377,,[1.10065058],11.431563599999208,11.433915100000377,12.506634699999267,12.506465766666468,12.606558400000722,13.006892866666265,14.09116080000058,14.643180900000516,14.207925400000022,14.625420099999246,None,,,148488,001,2025-10-28_11h43.06.219,AuditoryANT,2024.2.4,2025-10-28 11h43.08.892719 -0700,
1,low,HP,orienting,C:/Users/Adyant Balaji/Documents/EEG/tinnitusExperiments/AudiANT/audio_files/orienting_right.wav,C:/Users/Adyant Balaji/Documents/EEG/tinnitusExperiments/AudiANT/audio_files/low_HP_right.wav,up,right,5,5,0,None,,,0,5,5,7,14.643180900000516,,[0.72128145],14.640901200000371,14.643180900000516,15.358840299999429,15.35873876666689,15.459052300000621,15.859219466667371,16.476642899999206,,17.06031090000033,17.54416520000086,None,,,148488,001,2025-10-28_11h43.06.219,AuditoryANT,2024.2.4,2025-10-28 11h43.08.892719 -0700,
1,day,LP,alerting,C:/Users/Adyant Balaji/Documents/EEG/tinnitusExperiments/AudiANT/audio_files/alerting_cue.wav,C:/Users/Adyant Balaji/Documents/EEG/tinnitusExperiments/AudiANT/audio_files/day_LP_right.wav,down,right,6,6,0,None,,,0,6,6,17,17.569493499999226,,[1.43109837],17.567377600000327,17.569493499999226,18.978611599999567,18.978594166667122,19.0788021999997,19.479043066667387,20.563460600000326,20.785752100000536,20.680127699999503,20.76391870000043,None,,,148488,001,2025-10-28_11h43.06.219,AuditoryANT,2024.2.4,2025-10-28 11h43.08.892719 -0700,
1,day,HP,orienting,C:/Users/Adyant Balaji/Documents/EEG/tinnitusExperiments/AudiANT/audio_files/orienting_right.wav,C:/Users/Adyant Balaji/Documents/EEG/tinnitusExperiments/AudiANT/audio_files/day_HP_right.wav,up,right,7,7,0,None,,,0,7,7,23,20.785752100000536,,[0.78473797],20.7832656999999,20.785752100000536,21.56381169999986,21.563845366667252,21.666431800000282,22.047818266666823,22.681651200000488,,23.26556680000067,23.732925800000885,None,,,148488,001,2025-10-28_11h43.06.219,AuditoryANT,2024.2.4,2025-10-28 11h43.08.892719 -0700,
1,low,HP,orienting,C:/Users/Adyant Balaji/Documents/EEG/tinnitusExperiments/AudiANT/audio_files/orienting_left.wav,C:/Users/Adyant Balaji/Documents/EEG/tinnitusExperiments/AudiANT/audio_files/low_HP_left.wav,up,left,8,8,0,None,,,0,8,8,6,23.753482399999484,,[1.35831987],23.750542199999472,23.753482399999484,25.10026579999976,25.100322666667367,25.205922799999826,25.600658366666053,26.201101700000436,26.97645630000079,26.80170299999918,26.952086499999496,None,,,148488,001,2025-10-28_11h43.06.219,AuditoryANT,2024.2.4,2025-10-28 11h43.08.892719 -0700,
1,high,LP,orienting,C:/Users/Adyant Balaji/Documents/EEG/tinnitusExperiments/AudiANT/audio_files/orienting_left.wav,C:/Users/Adyant Balaji/Documents/EEG/tinnitusExperiments/AudiANT/audio_files/high_LP_left.wav,down,left,9,9,0,None,,,0,9,9,10,26.97645630000079,,[0.64889811],26.97435030000088,26.97645630000079,27.60231510000085,27.602360166665918,27.708543099999588,28.10268456666587,29.186953799999173,,29.303603599999406,29.78774820000035,None,,,148488,001,2025-10-28_11h43.06.219,AuditoryANT,2024.2.4,2025-10-28 11h43.08.892719 -0700,
1,low,LP,orienting,C:/Users/Adyant Balaji/Documents/EEG/tinnitusExperiments/AudiANT/audio_files/orienting_right.wav,C:/Users/Adyant Balaji/Documents/EEG/tinnitusExperiments/AudiANT/audio_files/low_LP_right.wav,down,right,10,10,0,None,,,0,10,10,3,29.81566329999987,,[0.99756372],29.813270500000726,29.81566329999987,30.78827260000071,30.78825066666674,30.890717700000096,31.288641866666026,32.30614729999979,,32.48964460000025,32.97380759999942,None,,,148488,001,2025-10-28_11h43.06.219,AuditoryANT,2024.2.4,2025-10-28 11h43.08.892719 -0700,
1,low,LP,alerting,C:/Users/Adyant Balaji/Documents/EEG/tinnitusExperiments/AudiANT/audio_files/alerting_cue.wav,C:/Users/Adyant Balaji/Documents/EEG/tinnitusExperiments/AudiANT/audio_files/low_LP_left.wav,down,left,11,11,0,None,,,0,11,11,0,32.99630679999973,,[1.5044375],32.99399959999937,32.99630679999973,34.491298000000825,34.49142206666717,34.596298399999796,34.9917142666675,36.00922849999915,36.212983299999905,36.19279549999919,36.19325240000035,None,,,148488,001,2025-10-28_11h43.06.219,AuditoryANT,2024.2.4,2025-10-28 11h43.08.892719 -0700,
1,day,HP,alerting,C:/Users/Adyant Balaji/Documents/EEG/tinnitusExperiments/AudiANT/audio_files/alerting_cue.wav,C:/Users/Adyant Balaji/Documents/EEG/tinnitusExperiments/AudiANT/audio_files/day_HP_left.wav,up,left,12,12,0,,,,0,12,12,20,36.212983299999905,,[0.76309657],36.210709200000565,36.212983299999905,,,,,,,,,,,,,,,,,,
