block,target_word,target_pitch,cue_type,cue_file,target_file,correct_resp,ear,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,iti,trial.started,fixation_cross.started,key_resp.started,orienting_cue.started,orienting_cue.stopped,target.started,target.stopped,key_resp.stopped,trial.stopped,trials.key_resp.keys,fixation_cross.stopped,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,psychopyVersion,expStart,
1.0,day,LP,alerting,C:/Users/Adyant Balaji/Documents/EEG/tinnitusExperiments/AudiANT/audio_files/alerting_cue.wav,C:/Users/Adyant Balaji/Documents/EEG/tinnitusExperiments/AudiANT/audio_files/day_LP_left.wav,down,left,0,0,0,None,,,0,0,0,16,0.027274399995803833,,[0.81767199],0.024315699993167073,0.027274399995803833,0.8202760999993188,0.8203193666597751,0.9251072000042768,1.3208942666717727,2.4048332999955164,2.521941800005152,3.0060647999926005,None,,,,023050,001,2025-09-26_14h03.28.124,AuditoryANT,2024.2.4,2025-09-26 14h03.30.388645 -0700,
None,high,HP,orienting,C:/Users/Adyant Balaji/Documents/EEG/tinnitusExperiments/AudiANT/audio_files/orienting_right.wav,C:/Users/Adyant Balaji/Documents/EEG/tinnitusExperiments/AudiANT/audio_files/high_HP_right.wav,up,right,1,1,0,None,,,0,1,1,15,3.0365371999942,,[0.81012735],3.0338277999981074,3.0365371999942,3.8229898999998113,3.8230695666609487,3.9259967999969376,4.323430166670975,4.957239399998798,5.5243894000013825,6.008663100001286,None,,,,023050,001,2025-09-26_14h03.28.124,AuditoryANT,2024.2.4,2025-09-26 14h03.30.388645 -0700,
1.0,day,LP,orienting,C:/Users/Adyant Balaji/Documents/EEG/tinnitusExperiments/AudiANT/audio_files/orienting_left.wav,C:/Users/Adyant Balaji/Documents/EEG/tinnitusExperiments/AudiANT/audio_files/day_LP_left.wav,down,left,2,2,0,None,,,0,2,2,18,6.0245872999948915,,[0.79554982],6.019006000002264,6.0245872999948915,6.808773400000064,6.8087015666717585,6.914251199996215,7.309143166672826,8.393332599996938,8.510203800004092,8.994277100006002,None,,,,023050,001,2025-09-26_14h03.28.124,AuditoryANT,2024.2.4,2025-09-26 14h03.30.388645 -0700,
None,day,LP,orienting,C:/Users/Adyant Balaji/Documents/EEG/tinnitusExperiments/AudiANT/audio_files/orienting_right.wav,C:/Users/Adyant Balaji/Documents/EEG/tinnitusExperiments/AudiANT/audio_files/day_LP_right.wav,down,right,3,3,0,None,,,0,3,3,19,9.020524099993054,,[0.9363322],9.018303200005903,9.020524099993054,9.944642000002204,9.94469846666131,10.047894300005282,10.445089366669224,11.529425600005197,11.646110200003022,12.113539300000411,None,,,,023050,001,2025-09-26_14h03.28.124,AuditoryANT,2024.2.4,2025-09-26 14h03.30.388645 -0700,
None,high,LP,alerting,C:/Users/Adyant Balaji/Documents/EEG/tinnitusExperiments/AudiANT/audio_files/alerting_cue.wav,C:/Users/Adyant Balaji/Documents/EEG/tinnitusExperiments/AudiANT/audio_files/high_LP_right.wav,down,right,4,4,0,None,,,0,4,4,9,12.139806299994234,,[0.7097864],12.137272699997993,12.139806299994234,12.83147829999507,12.832241866668726,12.939395699999295,13.331345066664896,14.415708400003496,14.53217649999715,15.017231499994523,None,,,,023050,001,2025-09-26_14h03.28.124,AuditoryANT,2024.2.4,2025-09-26 14h03.30.388645 -0700,
None,low,HP,orienting,C:/Users/Adyant Balaji/Documents/EEG/tinnitusExperiments/AudiANT/audio_files/orienting_right.wav,C:/Users/Adyant Balaji/Documents/EEG/tinnitusExperiments/AudiANT/audio_files/low_HP_right.wav,up,right,5,5,0,None,,,0,5,5,7,15.033862900003442,,[1.14970067],15.02370289999817,15.033862900003442,16.168453199992655,16.168442766666217,16.26841799999238,16.668827466670578,17.269230199992307,17.86977809999371,18.220485600002576,None,18.2435223999928,,,023050,001,2025-09-26_14h03.28.124,AuditoryANT,2024.2.4,2025-09-26 14h03.30.388645 -0700,
None,day,LP,alerting,C:/Users/Adyant Balaji/Documents/EEG/tinnitusExperiments/AudiANT/audio_files/alerting_cue.wav,C:/Users/Adyant Balaji/Documents/EEG/tinnitusExperiments/AudiANT/audio_files/day_LP_right.wav,down,right,6,6,0,down,0.07882510000490583,None,0,6,6,17,18.2435223999928,,[0.51750584],18.241083600005368,18.2435223999928,18.73723600000085,18.737148166667126,18.873455799999647,,,,18.84078440000303,down,,0.07882510000490583,None,023050,001,2025-09-26_14h03.28.124,AuditoryANT,2024.2.4,2025-09-26 14h03.30.388645 -0700,
None,day,HP,orienting,C:/Users/Adyant Balaji/Documents/EEG/tinnitusExperiments/AudiANT/audio_files/orienting_right.wav,C:/Users/Adyant Balaji/Documents/EEG/tinnitusExperiments/AudiANT/audio_files/day_HP_right.wav,up,right,7,7,0,None,,,0,7,7,23,18.873455799999647,,[1.10173601],18.870661900000414,18.873455799999647,19.954897899995558,19.954810666666404,20.058612599998014,20.455233866672884,21.089262499997858,21.656204400002025,22.057073999996646,None,22.09402649999538,,,023050,001,2025-09-26_14h03.28.124,AuditoryANT,2024.2.4,2025-09-26 14h03.30.388645 -0700,
1.0,low,HP,orienting,C:/Users/Adyant Balaji/Documents/EEG/tinnitusExperiments/AudiANT/audio_files/orienting_left.wav,C:/Users/Adyant Balaji/Documents/EEG/tinnitusExperiments/AudiANT/audio_files/low_HP_left.wav,up,left,8,8,0,up,0.4884270999900764,None,0,8,8,6,22.09402649999538,,[1.34537249],22.091459999996005,22.09402649999538,23.407689300001948,23.407541666663988,23.51492960000178,23.908039466670985,,,23.90889920000336,up,,0.4884270999900764,None,023050,001,2025-09-26_14h03.28.124,AuditoryANT,2024.2.4,2025-09-26 14h03.30.388645 -0700,
1.0,high,LP,orienting,C:/Users/Adyant Balaji/Documents/EEG/tinnitusExperiments/AudiANT/audio_files/orienting_left.wav,C:/Users/Adyant Balaji/Documents/EEG/tinnitusExperiments/AudiANT/audio_files/high_LP_left.wav,down,left,9,9,0,down,0.09801710001192987,None,0,9,9,10,23.95911039999919,,[1.21395704],23.956428100005724,23.95911039999919,25.142500699992524,25.142416066668616,25.243791899993084,,,,25.24402359999658,down,,0.09801710001192987,None,023050,001,2025-09-26_14h03.28.124,AuditoryANT,2024.2.4,2025-09-26 14h03.30.388645 -0700,
