block,target_word,target_pitch,cue_type,cue_file,target_file,correct_resp,ear,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,iti,trial.started,fixation_cross.started,key_resp.started,orienting_cue.started,orienting_cue.stopped,target.started,target.stopped,key_resp.stopped,fixation_cross.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,psychopyVersion,expStart,
1,day,LP,alerting,C:/Users/Adyant Balaji/Documents/EEG/tinnitusExperiments/AudiANT/audio_files/alerting_cue.wav,C:/Users/Adyant Balaji/Documents/EEG/tinnitusExperiments/AudiANT/audio_files/day_LP_left.wav,down,left,0,0,0,None,,,0,0,0,16,0.023861600000600447,,[1.22746182],0.02104449999933422,0.023861600000600447,1.2385821000007127,1.2386199666673443,1.3415256999996927,1.7390751666664679,2.8232693999998446,2.9399640999999974,3.223555900000065,3.206923199999437,None,,,564921,001,2025-10-28_11h37.04.494,AuditoryANT,2024.2.4,2025-10-28 11h37.06.650953 -0700,
1,high,HP,orienting,C:/Users/Adyant Balaji/Documents/EEG/tinnitusExperiments/AudiANT/audio_files/orienting_right.wav,C:/Users/Adyant Balaji/Documents/EEG/tinnitusExperiments/AudiANT/audio_files/high_HP_right.wav,up,right,1,1,0,up,1.3065203000005567,None,0,1,1,15,3.223555900000065,,[1.49451011],3.21903249999923,3.223555900000065,4.708340699999098,4.708024566665942,4.810925800000405,5.208436866665822,5.842402500000389,,,6.037946299999021,up,1.3065203000005567,None,564921,001,2025-10-28_11h37.04.494,AuditoryANT,2024.2.4,2025-10-28 11h37.06.650953 -0700,
1,day,LP,orienting,C:/Users/Adyant Balaji/Documents/EEG/tinnitusExperiments/AudiANT/audio_files/orienting_left.wav,C:/Users/Adyant Balaji/Documents/EEG/tinnitusExperiments/AudiANT/audio_files/day_LP_left.wav,down,left,2,2,0,None,,,0,2,2,18,6.053261200000634,,[0.57186131],6.050788099999409,6.053261200000634,6.6097319000000425,6.609659266665646,6.711311999999452,7.110172066666807,8.194335899999714,8.311149600000135,,8.795249299999341,None,,,564921,001,2025-10-28_11h37.04.494,AuditoryANT,2024.2.4,2025-10-28 11h37.06.650953 -0700,
1,day,LP,orienting,C:/Users/Adyant Balaji/Documents/EEG/tinnitusExperiments/AudiANT/audio_files/orienting_right.wav,C:/Users/Adyant Balaji/Documents/EEG/tinnitusExperiments/AudiANT/audio_files/day_LP_right.wav,down,right,3,3,0,None,,,0,3,3,19,8.83231220000016,,[1.08861472],8.829898399999365,8.83231220000016,9.895686300000307,9.89579576666644,9.995745899999747,10.396336366666462,11.480392699999356,11.597169599999688,12.05855370000063,12.031395899999552,None,,,564921,001,2025-10-28_11h37.04.494,AuditoryANT,2024.2.4,2025-10-28 11h37.06.650953 -0700,
1,high,LP,alerting,C:/Users/Adyant Balaji/Documents/EEG/tinnitusExperiments/AudiANT/audio_files/alerting_cue.wav,C:/Users/Adyant Balaji/Documents/EEG/tinnitusExperiments/AudiANT/audio_files/high_LP_right.wav,down,right,4,4,0,None,,,0,4,4,9,12.05855370000063,,[1.40597363],12.055890699999509,12.05855370000063,13.448650099999213,13.448774366667083,13.548724799999036,13.949062666666821,15.033560800000487,15.149965799999336,15.26952700000038,15.250596500000029,None,,,564921,001,2025-10-28_11h37.04.494,AuditoryANT,2024.2.4,2025-10-28 11h37.06.650953 -0700,
1,low,HP,orienting,C:/Users/Adyant Balaji/Documents/EEG/tinnitusExperiments/AudiANT/audio_files/orienting_right.wav,C:/Users/Adyant Balaji/Documents/EEG/tinnitusExperiments/AudiANT/audio_files/low_HP_right.wav,up,right,5,5,0,up,1.184525599999688,None,0,5,5,7,15.26952700000038,,[1.56833558],15.267081800000597,15.26952700000038,16.834660399999848,16.834648566666388,16.941595399999642,17.31847666666569,17.919211200000063,,,18.036564899999576,up,1.184525599999688,None,564921,001,2025-10-28_11h37.04.494,AuditoryANT,2024.2.4,2025-10-28 11h37.06.650953 -0700,
1,day,LP,alerting,C:/Users/Adyant Balaji/Documents/EEG/tinnitusExperiments/AudiANT/audio_files/alerting_cue.wav,C:/Users/Adyant Balaji/Documents/EEG/tinnitusExperiments/AudiANT/audio_files/day_LP_right.wav,down,right,6,6,0,down,1.5940716000004613,None,0,6,6,17,18.0603615,,[0.5099821],18.058241700000508,18.0603615,18.552849100000458,18.55301936666571,18.65285210000002,19.053463966665973,20.137651900000492,,,20.15492769999946,down,1.5940716000004613,None,564921,001,2025-10-28_11h37.04.494,AuditoryANT,2024.2.4,2025-10-28 11h37.06.650953 -0700,
1,day,HP,orienting,C:/Users/Adyant Balaji/Documents/EEG/tinnitusExperiments/AudiANT/audio_files/orienting_right.wav,C:/Users/Adyant Balaji/Documents/EEG/tinnitusExperiments/AudiANT/audio_files/day_HP_right.wav,up,right,7,7,0,up,1.3919277999993938,None,0,7,7,23,20.17659140000069,,[1.04534234],20.173022999999375,20.17659140000069,21.205030799999804,21.205148866665937,21.305163200000607,21.70548776666716,22.3394890999989,,,22.606992099999843,up,1.3919277999993938,None,564921,001,2025-10-28_11h37.04.494,AuditoryANT,2024.2.4,2025-10-28 11h37.06.650953 -0700,
1,low,HP,orienting,C:/Users/Adyant Balaji/Documents/EEG/tinnitusExperiments/AudiANT/audio_files/orienting_left.wav,C:/Users/Adyant Balaji/Documents/EEG/tinnitusExperiments/AudiANT/audio_files/low_HP_left.wav,up,left,8,8,0,None,,,0,8,8,6,22.62276279999969,,[0.53432992],22.619656200000463,22.62276279999969,23.15680280000015,23.156756566666687,23.260861400000067,23.640547866665898,24.240966899998966,24.85801299999912,,25.32574249999925,None,,,564921,001,2025-10-28_11h37.04.494,AuditoryANT,2024.2.4,2025-10-28 11h37.06.650953 -0700,
1,high,LP,orienting,C:/Users/Adyant Balaji/Documents/EEG/tinnitusExperiments/AudiANT/audio_files/orienting_left.wav,C:/Users/Adyant Balaji/Documents/EEG/tinnitusExperiments/AudiANT/audio_files/high_LP_left.wav,down,left,9,9,0,None,,,0,9,9,10,25.36073260000012,,[1.30283391],25.35824479999974,25.36073260000012,26.64305450000029,26.642925466665716,26.74312800000007,27.14338026666725,28.227447900000698,28.344104899999365,28.578545200000008,28.544988399999056,None,,,564921,001,2025-10-28_11h37.04.494,AuditoryANT,2024.2.4,2025-10-28 11h37.06.650953 -0700,
1,low,LP,orienting,C:/Users/Adyant Balaji/Documents/EEG/tinnitusExperiments/AudiANT/audio_files/orienting_right.wav,C:/Users/Adyant Balaji/Documents/EEG/tinnitusExperiments/AudiANT/audio_files/low_LP_right.wav,down,right,10,10,0,,,,0,10,10,3,28.578545200000008,,[1.16790995],28.57597849999911,28.578545200000008,29.712030299999242,29.712133066667107,29.812916299999415,30.2125502666661,31.230033199999525,,,,,,,,,,,,,
